instance_id,click
516103589552752136,0.00027
8452905789467905699,0.07588
9178686108079746729,0.32563
7897466100684275154,0.24507
7763575216514757377,0.26189
3038858723920399249,0.29738
6072414302180129218,0.30149
3296823924206045435,0.32864
7656736204429915684,0.01842
820080230666584976,0.24751
2459863078798445647,0.30830
846832323532135778,0.15802
3364436286774281281,0.31587
2684469567987480779,0.21681
7758848272770422233,0.00250
5359485702366492877,0.02388
7167659992949736810,0.01212
8606003064403113339,0.26471
8942021266221131561,0.30320
2213556703102815603,0.41878
3841674545945881173,0.43925
7133416460015354155,0.01182
1652490202551833453,0.32196
1947478567542742292,0.02301
8470730607138796495,0.27263
6963486761767027306,0.01754
1931011794707046040,0.55642
6678687082992596668,0.27012
3840438546351086849,0.01040
6136131022572017403,0.02216
2934325985377721850,0.30012
3362480720572644915,0.30681
4794020701257880700,0.14235
5189007199500911177,0.19014
5744817063364751441,0.35065
159548518873832878,0.33518
7782147146679820404,0.06827
4017435346689921904,0.04138
6420141678352007757,0.28392
516708155573106987,0.29369
8042086616437564464,0.36908
8351080929244488465,0.01623
531455135442761457,0.24386
7876027058626397891,0.18569
2034840870322359224,0.23292
3975961303152487018,0.22389
1528502821795602244,0.04800
883270898145129609,0.21544
9066317439556482604,0.38216
2586874684392463446,0.28871
5095224944904496332,0.27701
8299067832568357193,0.01711
8745438360712321469,0.00011
1666208469460748541,0.28652
10841685487973195,0.25660
6928497786370100429,0.29134
1104406206943513478,0.28920
5874331101593050239,0.02006
759983517357193418,0.43243
1829938647835671122,0.41169
8925650472025818938,0.00147
4681444820049490698,0.24139
3295618105554779657,0.00001
7329412482132320012,0.36212
5034483123653292614,0.10894
7534152449301053609,0.28979
2746589760592038013,0.27745
5860827262702000886,0.20386
4429470826083678249,0.29950
5711240371899304175,0.04101
6639084279451585526,0.03135
4891014729365709895,0.42488
735846203826722228,0.21279
50296781508628443,0.27873
428964597030330970,0.34261
7736867544807046804,0.05930
4493529464616351502,0.28955
1364096167060589502,0.23511
4606816150897566089,0.28458
7620133519103263247,0.20076
1228631775731085467,0.34357
7482519160117703764,0.02426
2459601695952854169,0.33759
2213386216504200517,0.29638
8958569509216154473,0.58809
1524044221223918510,0.04216
6115628559018652074,0.17409
4323258914500275401,0.38309
8758987371329499543,0.22905
9214863137332879448,0.04440
5694038800132773544,0.24112
4566087171775041556,0.20135
6024042645308887894,0.26510
6046736016189546549,0.16081
533393184755060826,0.25883
3367551797933128605,0.21855
5899832587151691332,0.06710
3444144824841465134,0.27415
3196367750093565894,0.24849
2768839476936811949,0.55856
4290931037332041174,0.00003
5294596141779144783,0.39649
4049334654392492240,0.22193
3705661680524645717,0.30094
3035319884286943700,0.00857
1581562442571926890,0.66437
7468627005621893659,0.26684
4817800205792016670,0.01610
6435694895393538308,0.00892
5200671997416266925,0.28650
4283543366628633146,0.20313
135831882541527425,0.39826
6936126166987564161,0.57249
8647356627287099481,0.27859
3465331496033727787,0.32281
5100770371531724819,0.21417
2866078300908153732,0.61448
8921122227812788811,0.57553
7089356018325109877,0.20676
8382181954764960486,0.21912
862279550699716508,0.45932
3313187351938331311,0.27560
656950662101038268,0.06095
7676896185478254976,0.20938
3757050606299986408,0.45910
3961584844744222755,0.45558
4160488022834123414,0.30118
8516071513988644134,0.25782
4582945136130081522,0.20604
1354318442735992631,0.22242
2284316826826814122,0.06575
3050550169856101510,0.01251
6205063818419888987,0.00281
8452600152820776247,0.17926
3260531963874228687,0.49620
