instance_id,click
7861791059612060265,0.03280
4578220530446690307,0.32490
282587828151222214,0.82183
8665702298008660394,0.00986
6843165598755784106,0.43902
185976094800812635,0.42306
7026576372192898892,0.27765
3589161987706532,0.28389
1760795622239114666,0.18580
2338551800853313028,0.33590
3634048650937300088,0.00043
271995522857002196,0.04364
4383319473361846236,0.57790
5795502503909051233,0.38584
2438086219067770595,0.31043
6418999874228900489,0.00135
4813570971172948154,0.29697
131283467202643665,0.24790
779836582481327152,0.42941
7964353887110410691,0.34856
256810176987761662,0.00183
7431740224411067127,0.41218
1475698811397847126,0.10813
2802127117108382666,0.07329
7165970513466949309,0.21771
1838833793635552712,0.38236
879152058152138283,0.32539
4889241625908587937,0.02493
3579908381856309546,0.19801
2803105152469997017,0.16033
7705362477915812784,0.22805
5066508760690356104,0.14276
4874788294593048021,0.06002
8090125262943475673,0.15919
7175927357192374150,0.52348
7761239425402348483,0.01630
8387025801110145650,0.01814
2622216361857323703,0.28049
7484076644285229267,0.13793
154012063487256793,0.18064
4732612909982414721,0.00452
2762188731540061170,0.04088
6845661443368815024,0.00657
6426425295693631549,0.30385
7192413858638037008,0.00823
7665954801783533824,0.00106
14838191336795426,0.00165
2232487640574602246,0.33290
3752094965665048663,0.37970
7410242986704915698,0.18977
1373085653917135760,0.23132
5545998264834151702,0.22568
7865565918405359534,0.00730
3810949976025167396,0.03748
8541750797040532218,0.10706
6034809123956035612,0.67143
3059517952394971444,0.58350
915661150992241657,0.30421
9015923794433516085,0.32436
3268946592861336584,0.16218
7907946996046042243,0.03429
1489897292304014659,0.16225
6970332485189245539,0.23175
7065764280059850583,0.05236
2208987820446148838,0.12543
5506579814448220834,0.29617
8410523559401731196,0.81241
5427345292523740901,0.00057
7167728766611210435,0.03435
5652195488912050072,0.25424
1811172752512470507,0.07109
5923015420009708890,0.59404
3836231317889570957,0.35963
8107744489189725311,0.01763
2789694464067481722,0.19811
9198026063056745803,0.83928
1064260162222838524,0.46176
8743702247246124943,0.26266
8186338678185280989,0.47165
4423788012269315744,0.00000
3949550200409595600,0.51202
1349447894064766032,0.09827
4481002260222700304,0.25347
5648844793050978179,0.00033
1969816184329711432,0.54640
1939553825490062478,0.06698
6634762849744520933,0.31973
6042213182464496267,0.37611
4224547639957105889,0.43340
5221902863106283561,0.05671
7013679964362690483,0.51012
7575180113261496293,0.30179
4545657055196180116,0.37561
2276203408453752980,0.13361
5956325625486892802,0.24104
432249362717010166,0.04022
2275138391287351288,0.19928
1860710161434256083,0.00692
6185427158282384355,0.30125
3416858896838773714,0.22196
2977746126829218492,0.30272
5885155235638925069,0.00016
4573187214722920325,0.32937
2675656823293712547,0.00552
921148749263542127,0.23103
8673861915305646570,0.24210
2355089205033951582,0.00604
8843926039332389190,0.13186
7916947249213976132,0.19652
8086845274090869492,0.00375
7739048925699798876,0.54095
6207844984932314273,0.18427
5500552368149200748,0.29368
7280032326720525940,0.36190
6050424991450093319,0.29477
5577705353727332305,0.14873
3503033694003044777,0.35239
8497915697140401311,0.05661
9017918510226616188,0.00000
5233924510625666708,0.55354
8470009683651912356,0.33418
